"Y" "x"
"1" "1.82465162051329" "0"
"2" "1.72068313908548" "0.25"
"3" "1.64371085800279" "0.5"
"4" "1.45035219313333" "0.75"
"5" "1.43437149657988" "1"
"6" "1.0541697329732" "1.25"
"7" "0.89115122731646" "1.5"
"8" "0.731189347243955" "1.75"
"9" "0.956698199341707" "2"
"10" "0.706060429311936" "2.25"
"11" "0.686514256591722" "2.5"
"12" "0.475809482410787" "2.75"
"13" "0.484966913786941" "3"
"14" "0.609759887075946" "3.25"
"15" "0.46941344468612" "3.5"
"16" "0.496016520218353" "3.75"
"17" "0.266691531732427" "4"
"18" "0.210245171381068" "4.25"
"19" "0.243981755333157" "4.5"
"20" "0.186260815989598" "4.75"
"21" "0.169737146321055" "5"
"22" "0.182375587121623" "5.25"
"23" "0.147997968084734" "5.5"
"24" "0.261664433896392" "5.75"
"25" "0.171578953243749" "6"
"26" "0.076342460408111" "6.25"
"27" "0.142838131803344" "6.5"
"28" "0.359078630615861" "6.75"
"29" "0.195278906241601" "7"
"30" "0.0360509279232203" "7.25"
"31" "-0.167632493566486" "7.5"
"32" "-0.018774111924775" "7.75"
"33" "-0.08666493121071" "8"
"34" "-0.0835146700621187" "8.25"
"35" "0.200459146812527" "8.5"
"36" "-0.0685973682388512" "8.75"
"37" "0.0400825591112861" "9"
"38" "0.293371088423083" "9.25"
"39" "0.219093616309593" "9.5"
"40" "0.0886361921188474" "9.75"
